Electrode,Tier
Nz,Fiducials
Iz,Fiducials
A1,Fiducials
A2,Fiducials
Fpz,2
Fp1,2
Fp2,2
AF7,4
AF3,1
AFz,0
AF4,1
AF8,4
F9,4
F7,4
F5,3
F3,1
F1,0
Fz,0
F2,0
F4,1
F6,3
F8,4
F10,4
FT9,4
FT7,4
FC7,4
FC5,3
FC3,1
FC1,0
FCz,0
FC2,0
FC4,1
FC6,3
FC8,4
FT10,4
T9,4
T7/T3,4
C5,3
C3,1
C1,0
Cz,0
C2,0
C4,1
C6,3
T8/T4,4
FT8,4
T10,4
TP9,4
TP7,4
CP5,3
CP3,1
CP1,0
CPz,0
CP2,0
CP4,1
CP6,3
TP8,4
TP10,4
P9,4
PO9,4
P7/T5,4
P5,3
P3,1
P1,0
Pz,0
P2,0
P4,1
P6,3
P8/T6,4
P10,4
PO10,4
PO7,4
PO3,4
POz,4
PO4,4
PO8,4
O1,4
I1,4
Oz,4
O2,4
I2,4
