id,graph_order,acronym,name,color_hex_triplet,parent_structure_id,structure_id_path,annotated,voxel_count,subgraph_annotated,subgraph_voxel_count,volume_mm3,volume_cm3
10329,1587,FI,frontal agranular insular cortex (area FI),C1A68F,10327.0,/10153/10154/10155/10156/10157/10158/10159/10313/10327/10329/,True,296.0,True,296.0,37.0,0.037
10330,1593,TI,temporal agranular insular cortex (area TI),B5967F,10327.0,/10153/10154/10155/10156/10157/10158/10159/10313/10327/10330/,True,1713.0,True,1713.0,214.125,0.214125
10307,1732,OB,olfactory bulb,D1CEE2,10306.0,/10153/10154/10155/10156/10157/10158/10159/10292/10306/10307/,True,844.0,True,844.0,105.5,0.1055
10308,1739,AON,anterior olfactory nucleus,AA9DC6,10306.0,/10153/10154/10155/10156/10157/10158/10159/10292/10306/10308/,True,1223.0,True,1223.0,152.875,0.152875
10311,1751,Pir,piriform cortex,AA9DC6,10306.0,/10153/10154/10155/10156/10157/10158/10159/10292/10306/10311/,True,1588.0,True,1588.0,198.5,0.1985
10361,1760,AMY,amygdaloid complex,C9E2B1,10331.0,/10153/10154/10155/10156/10157/10158/10331/10361/,True,3754.0,True,17919.0,2239.875,2.239875
10362,1761,AAA,anterior amygdaloid area,C0DD9D,10361.0,/10153/10154/10155/10156/10157/10158/10331/10361/10362/,True,925.0,True,925.0,115.625,0.115625
10363,1764,CEN,central nuclear group,AFD58A,10361.0,/10153/10154/10155/10156/10157/10158/10331/10361/10363/,True,595.0,True,595.0,74.375,0.074375
10374,1775,CoA,anterior cortical nucleus,89BA46,10373.0,/10153/10154/10155/10156/10157/10158/10331/10361/10372/10373/10374/,True,1536.0,True,1536.0,192.0,0.192
10375,1779,CoP,posterior cortical nucleus,92C851,10373.0,/10153/10154/10155/10156/10157/10158/10331/10361/10372/10373/10375/,True,580.0,True,580.0,72.5,0.0725
10376,1783,Me,medial nucleus,9CCC66,10372.0,/10153/10154/10155/10156/10157/10158/10331/10361/10372/10376/,True,422.0,True,422.0,52.75,0.05275
10377,1789,AHA,amygdalohippocampal area,89BA46,10372.0,/10153/10154/10155/10156/10157/10158/10331/10361/10372/10377/,True,481.0,True,481.0,60.125,0.060125
