Type,x,y,z,label
Electrode,-29.299921,81.561919,-8.550350,Fp1
Electrode,-34.648454,75.438067,19.545675,AF3
Electrode,-68.967346,38.406809,-11.084264,F7
Electrode,-49.095565,52.453695,39.276899,F3
Electrode,-33.106205,26.222910,75.951477,FC1
Electrode,-74.235025,16.858432,23.847734,FC5
Electrode,-82.389657,-16.895584,-9.322330,T7
Electrode,-67.722127,-11.278378,61.153962,C3
Electrode,-37.072321,-48.182936,89.516403,CP1
Electrode,-80.235166,-46.807564,30.309999,CP5
Electrode,-72.547285,-74.186410,-4.317407,P7
Electrode,-55.925021,-81.600300,54.011411,P3
Electrode,-0.408482,-84.641602,79.349123,Pz
Electrode,-36.987802,-105.059085,33.346824,PO3
Electrode,-29.367952,-114.574292,4.063333,O1
Electrode,0.010142,-118.484163,8.248534,Oz
Electrode,29.258777,-114.003961,4.262666,O2
Electrode,36.335891,-104.551977,33.406082,PO4
Electrode,55.152121,-81.228802,54.329480,P4
Electrode,72.303375,-73.718755,-3.771567,P8
Electrode,80.402850,-46.829954,30.763790,CP6
Electrode,37.160837,-48.192596,89.696496,CP2
Electrode,68.446065,-11.246362,61.955793,C4
Electrode,83.968508,-16.868655,-8.904966,T8
Electrode,76.005962,17.188526,24.260187,FC6
Electrode,34.381104,26.391446,76.250324,FC2
Electrode,50.776891,52.985854,40.216400,F4
Electrode,70.188886,38.877264,-10.750644,F8
Electrode,35.768855,76.013191,20.383890,AF4
Electrode,29.799709,82.229567,-8.434794,Fp2
Electrode,0.352880,59.575305,64.424744,Fz
ReferenceElectrode,0.036464,-8.221517,97.345155,Cz
